state,state_code,district_name,assembly_constituency_name,assembly_constituency_no,parliamentary_constituency_name,polling_station_name,polling_station_id,polling_station_type,polling_station_address,gps_lat,gps_lon,total_electors,male_electors,female_electors,other_electors,votes_polled,valid_votes,rejected_votes,candidate_1_name,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_party,candidate_2_votes,gender_ratio_flag,caste_group,religion_group,age_category
Gujarat,GJ,Bharuch,AC_153,153,PC_22,Booth_1870001,1870001,Main,Ankleshwar GIDC,21.616772.9833,1.82E+18,1777,944,833,0,1654,1649,3,Mansukhbhai Vasava,BJP,1023,Sherkhan Pathan,INC,562,Male-Skewed,OBC,Hindu,26-35
Gujarat,GJ,Patan,AC_018,18,PC_03,Booth_1880001,1880001,Auxiliary,Siddhpur Temple Road,23.916872.3667,1.71E+18,1599,988,900,0,1523,1518,3,Bharatsinh Dabhi,BJP,987,Jagdish Thakor,INC,466,Male-Skewed,OBC,Hindu,36-50
Rajasthan,RJ,Jhalawar-Baran,AC_194,194,PC_25,Booth_1890001,1890001,Main,Aklera Market,24.416875.7833,1.85E+18,1888,888,778,0,1567,1562,3,Dushyant Singh,BJP,1234,Pramod Jain Bhaya,INC,461,Male-Skewed,OBC,Hindu,18-25
Rajasthan,RJ,Pali,AC_118,118,PC_15,Booth_1900001,1900001,Auxiliary,Sojat Road,25.916774.8167,1.78E+18,1823,933,844,0,1523,1518,3,P P Chaudhary,BJP,1123,Badriram Jakhar,INC,341,Male-Skewed,General,Hindu,36-50
Haryana,HR,Sirsa,AC_045,45,PC_03,Booth_1910001,1910001,Main,Ellenabad Canal,29.466776.4167,1.67E+18,1777,811,744,0,1523,1518,3,Sunita Duggal,BJP,1023,Ashok Tanwar,INC,320,Male-Skewed,OBC,Christian,36-50
Uttar Pradesh,UP,Bijnor,AC_022,22,PC_04,Booth_1920001,1920001,Auxiliary,Nagina Fort Road,29.443577.9833,1.89E+18,1844,855,811,0,1693,1456,3,Malook Nagar,BSP,1234,Kunwar Bhartendra,BJP,461,Male-Skewed,SC,Hindu,51-65
Uttar Pradesh,UP,Bulandshahr,AC_065,65,PC_13,Booth_1930001,1930001,Main,Sikandrabad Industrial Area,28.466778.0333,1.82E+18,1911,988,900,0,1654,1649,3,Bhola Singh,BJP,1123,Yogesh Verma,SP,428,Male-Skewed,OBC,Hindu,51-65
Bihar,BR,Katihar,AC_063,63,PC_11,Booth_1940001,1940001,Auxiliary,Barsoi Railway,25.650086.8833,1.60E+18,1488,966,811,0,1567,1562,3,Dulal Chandra Goswami,JD(U),912,Tariq Anwar,INC,383,Male-Skewed,General,Hindu,26-35
Odisha,OR,Nabarangpur,AC_074,74,PC_12,Booth_1950001,1950001,Main,Umerkote Market,19.666685.9667,1.71E+18,1823,1011,881,0,1523,1518,3,Ramesh Chandra Majhi,BJD,987,Pradeep Majhi,INC,442,Male-Skewed,General,Hindu,36-50
Madhya Pradesh,MP,Balaghat,AC_111,111,PC_15,Booth_1960001,1960001,Auxiliary,Waraseoni Teak Forest,21.766779.8667,1.67E+18,1777,933,790,0,1345,1340,3,Dhal Singh Bisen,BJP,1023,Madan Patel,INC,340,Male-Skewed,OBC,Sikh,18-25
West Bengal,WB,Birbhum,AC_288,288,PC_42,Booth_1970001,1970001,Main,Bolpur Shantiniketan Road,23.666787.6833,1.78E+18,1711,822,832,0,1278,1274,3,Satabdi Roy,TMC,1234,Dudhkumar Mondal,BJP,472,Female-Skewed,OBC,Christian,26-35
Jharkhand,JH,Lohardaga,AC_066,66,PC_12,Booth_1980001,1980001,Main,Gumla Forest Road,23.433385.1667,1.49E+18,1233,911,900,0,1389,1384,3,Sudarsan Bhagat,BJP,823,Sukdeo Bhagat,INC,362,Male-Skewed,General,Hindu,36-50
Assam,AS,Nowgong,AC_088,88,PC_10,Booth_1990001,1990001,Auxiliary,Hojai Market,26.000092.8500,1.74E+19,1789,1022,922,0,1398,1393,3,Pradyut Bordoloi,INC,1023,Rupak Sharma,BJP,461,Male-Skewed,SC,Hindu,26-35
Telangana,TS,Bhuvanagiri,AC_094,94,PC_14,Booth_2000001,2000001,Main,Yadagirigutta Temple Road,17.583378.9500,1.91E+19,1345,955,834,0,1356,1351,3,Komati Reddy Venkat Reddy,INC,1345,Boora Narsaiah Goud,TRS,538,Male-Skewed,OBC,Muslim,26-35
Andhra Pradesh,AP,Srikakulam,AC_012,12,PC_02,Booth_2010001,2010001,Main,Palasa Railway Station,18.7728,84.4103,1788,899,813,0,1789,1783,3,Kinjarapu Ram Mohan Naidu,TDP,1123,Dola Jagan,BJP,408,Male-Skewed,General,Muslim,51-65
Tamil Nadu,TN,Arakkonam,AC_038,38,PC_07,Booth_2020001,2020001,Auxiliary,Tiruttani Temple Road,13.1753,79.6167,1844,999,877,0,1654,1649,3,S Jagathrakshakan,DMK,1234,Anbalagan,AIADMK,461,Male-Skewed,OBC,Hindu,26-35
Kerala,KL,Chalakudy,AC_071,71,PC_11,Booth_2030001,2030001,Main,Angamaly Airport Road,10.1833,76.3833,1911,866,767,0,1567,1562,3,Benny Behanan,INC,1345,Innocent,CPM,541,Male-Skewed,General,Muslim,18-25
Maharashtra,MH,Gadchiroli-Chimur,AC_067,67,PC_12,Booth_2040001,2040001,Auxiliary,Allapalli Forest Checkpost,19.4333,80.0667,1488,777,711,0,1523,1518,3,Ashok Nete,BJP,823,Namdeo Usendi,INC,297,Male-Skewed,OBC,Hindu,26-35
Gujarat,GJ,Dahod,AC_132,132,PC_19,Booth_2050001,2050001,Main,Jhalod Tribal Market,23.1,74.0667,1666,866,800,0,1567,1562,3,Jasvantsinh Bhabhor,BJP,987,Katara Babubhai,INC,355,Male-Skewed,General,Hindu,36-50
Rajasthan,RJ,Jalore,AC_143,143,PC_18,Booth_2060001,2060001,Auxiliary,Sanchore Border Road,24.75,71.7667,1823,977,846,0,1523,1518,3,Devji Patel,BJP,1123,Ramji Bhai,INC,403,Male-Skewed,SC,Hindu,51-65
Uttar Pradesh,UP,Etawah,AC_200,200,PC_41,Booth_2070001,2070001,Main,Bharthana Canal Road,26.75,79.2167,1777,966,811,0,1498,1495,3,Ram Shankar Katheria,BJP,1234,Ashok Dohare,SP,372,Male-Skewed,General,Hindu,51-65
Bihar,BR,Valmiki Nagar,AC_001,1,PC_01,Booth_2080001,2080001,Auxiliary,Bettiah Raj Palace,26.8,84.5,1599,877,722,0,1289,1286,3,Baijayant Panda,BJP,987,Sanjay Jaiswal,INC,299,Male-Skewed,OBC,Hindu,18-25
Odisha,OR,Koraput,AC_144,144,PC_21,Booth_2090001,2090001,Main,Jeypore Palace Road,18.8667,82.5667,1711,888,823,0,1398,1395,3,Saptagiri Ulaka,INC,912,Kausalya Hikaka,BJD,483,Male-Skewed,OBC,Hindu,36-50
Madhya Pradesh,MP,Khargone,AC_183,183,PC_27,Booth_2100001,2100001,Main,Barwani Tribal Haat,22.0333,74.9,1666,866,800,0,1345,1342,3,Gajendra Patel,BJP,1023,Govind Muvel,INC,340,Male-Skewed,SC,Hindu,26-35
West Bengal,WB,Alipurduars,AC_011,11,PC_02,Booth_2110001,2110001,Auxiliary,Falakata Tea Garden,26.5167,89.2,1555,811,744,0,1234,1231,3,John Barla,BJP,912,Dasrath Tirkey,TMC,319,Male-Skewed,OBC,Christian,36-50
Assam,AS,Kokrajhar,AC_001,1,PC_01,Booth_2120001,2120001,Main,Gossaigaon Border,26.5167,90.0167,1444,755,689,0,1123,1120,3,Naba Sarania,IND,823,Pramila Rani Brahma,BJP,297,Male-Skewed,OBC,Buddhist,26-35
Telangana,TS,Zahirabad,AC_038,38,PC_05,Booth_2130001,2130001,Auxiliary,Sangareddy Old Bus Stand,17.6167,78.0833,1888,988,900,0,1654,1651,3,B B Patil,TRS,1234,Madhav Reddy,INC,528,Male-Skewed,General,Hindu,36-50
Andhra Pradesh,AP,Eluru,AC_062,62,PC_09,Booth_2140001,2140001,Main,Bhimavaram Canal Road,16.55,81.5167,1823,944,879,0,1567,1564,3,Kotagiri Sridhar,TDP,1123,Vanga Geetha,YSRCP,452,Male-Skewed,OBC,Hindu,26-35
Tamil Nadu,TN,Nilgiris,AC_110,110,PC_19,Booth_2150001,2150001,Auxiliary,Ooty Botanical Garden,11.4,76.7333,1777,888,889,0,1498,1495,3,A Raja,DMK,1023,M Thiyagarajan,AIADMK,393,Female-Skewed,OBC,Hindu,65+
Kerala,KL,Vadakara,AC_003,3,PC_03,Booth_2160001,2160001,Main,Thalassery Fort Road,11.75,75.4833,1911,922,989,0,1678,1675,3,K Muraleedharan,INC,1345,P Jayarajan,CPM,541,Female-Skewed,OBC,Hindu,65+
Maharashtra,MH,Hingoli,AC_094,94,PC_15,Booth_2170001,2170001,Main,Basmath Nagar Market,19.3167,77.15,1666,877,789,0,1345,1342,3,Hemant Patil,SHS,987,Subhash Wankhede,INC,355,Male-Skewed,OBC,Sikh,18-25
Gujarat,GJ,Mahesana,AC_004,4,PC_04,Booth_2180001,2180001,Auxiliary,Unjha Spices Market,23.8,72.3833,1823,966,857,0,1567,1564,3,Shardaben Patel,BJP,1234,Jivabhai Patel,INC,443,Male-Skewed,General,Hindu,18-25
Rajasthan,RJ,Banswara,AC_164,164,PC_20,Booth_2190001,2190001,Main,Kushalgarh Tribal Haat,23.1833,74.45,1599,822,777,0,1289,1286,3,Kanaka Ram Damor,BJP,987,Tarachand Bhagora,INC,299,Male-Skewed,OBC,Hindu,26-35
Uttar Pradesh,UP,Jalaun,AC_226,226,PC_45,Booth_2200001,2200001,Auxiliary,Orai Railway Yard,25.9833,79.45,1777,966,811,0,1498,1495,3,Bhanu Pratap Verma,BJP,1234,Pankaj Singh,SP,372,Male-Skewed,General,Muslim,51-65
Bihar,BR,Ujiarpur,AC_135,135,PC_22,Booth_2210001,2210001,Main,Samastipur Sugar Mill Road,25.85,85.7833,1844,977,867,0,1567,1564,3,Nityanand Rai,BJP,1234,Alok Mehta,RJD,443,Male-Skewed,OBC,Hindu,65+
Odisha,OR,Kalahandi,AC_080,80,PC_11,Booth_2220001,2220001,Auxiliary,Bhawanipatna Palace,19.9,83.1667,1711,888,823,0,1398,1395,3,Basanta Kumar Panda,BJP,987,Bhakta Majhi,BJD,408,Male-Skewed,General,Muslim,51-65
Madhya Pradesh,MP,Shahdol,AC_083,83,PC_12,Booth_2230001,2230001,Main,Umaria Coal Belt,23.5167,80.8333,1666,866,800,0,1345,1342,3,Himadri Singh,BJP,1023,Pramila Singh,INC,340,Male-Skewed,General,Hindu,26-35
West Bengal,WB,Cooch Behar,AC_003,3,PC_01,Booth_2240001,2240001,Auxiliary,Dinhata Rajbari,26.1333,89.4667,1777,944,833,0,1498,1495,3,Nisith Pramanik,BJP,1234,Paresh Adhikary,TMC,372,Male-Skewed,OBC,Muslim,36-50
Jharkhand,JH,Palamau,AC_076,76,PC_13,Booth_2250001,2250001,Main,Medininagar Fort Road,24.0333,84.0667,1599,855,744,0,1234,1231,3,Vishnu Dayal Ram,BJP,987,Tej Narayan,RJD,244,Male-Skewed,SC,Hindu,51-65
Assam,AS,Gauhati,AC_053,53,PC_07,Booth_2260001,2260001,Main,Guwahati University,26.15,91.7333,1888,977,911,0,1654,1651,3,Queen Oja,BJP,1345,Bobbeeta Sharma,INC,507,Male-Skewed,ST,Christian,36-50
Telangana,TS,Mahabubabad,AC_103,103,PC_16,Booth_2270001,2270001,Auxiliary,Warangal Fort Road,17.9833,79.6,1823,944,879,0,1567,1564,3,Kavitha Maloth,TRS,1234,Balaram Naik,INC,443,Male-Skewed,General,Hindu,18-25
Andhra Pradesh,AP,Hindupur,AC_155,155,PC_20,Booth_2280001,2280001,Main,Lepakshi Temple Road,13.8,77.6,1777,922,855,0,1498,1495,3,Nandamuri Balakrishna,TDP,1123,Giddamaiah,YSRCP,386,Male-Skewed,General,Hindu,18-25
Tamil Nadu,TN,Dharmapuri,AC_059,59,PC_10,Booth_2290001,2290001,Auxiliary,Hogenakkal Falls Road,12.1167,77.95,1844,966,878,0,1587,1584,3,Senthil Kumar,DMK,1234,Anbumani Ramadoss,PMK,464,Male-Skewed,General,Hindu,51-65
Kerala,KL,Kottayam,AC_099,99,PC_14,Booth_2300001,2300001,Main,Kumarakom Backwaters,9.6,76.4333,1911,922,989,0,1678,1675,3,Thomas Chazhikadan,KCM,1345,Mathew Kuzhalnadan,INC,541,Female-Skewed,General,Hindu,36-50
Maharashtra,MH,Nandurbar,AC_001,1,PC_01,Booth_2310001,2310001,Auxiliary,Dhadgaon Tribal Haat,21.8167,74.2,1488,777,711,0,1123,1120,3,Heena Gavit,BJP,823,KC Padavi,INC,297,Male-Skewed,OBC,Hindu,18-25
Gujarat,GJ,Junagadh,AC_086,86,PC_13,Booth_2320001,2320001,Main,Gir Forest Gate,21.1667,70.4667,1823,966,857,0,1567,1564,3,Rajesh Chudasama,BJP,1234,Punjabhai Vansh,INC,443,Male-Skewed,SC,Muslim,36-50
Rajasthan,RJ,Karauli-Dholpur,AC_079,79,PC_10,Booth_2330001,2330001,Main,Hinda Palace Road,26.4833,77.0167,1777,944,833,0,1498,1495,3,Manoj Rajoria,BJP,1123,Bhajan Lal Jatav,INC,386,Male-Skewed,OBC,Christian,36-50
Uttar Pradesh,UP,Kaushambi,AC_252,252,PC_50,Booth_2340001,2340001,Auxiliary,Sirathu Ganga Ghat,25.65,81.3167,1711,922,789,0,1398,1395,3,Vinod Sonkar,BJP,1023,Indrajeet Saroj,SP,393,Male-Skewed,SC,Muslim,51-65
Bihar,BR,Supaul,AC_043,43,PC_08,Booth_2350001,2350001,Main,Birpur Border Road,26.5167,86.9833,1666,888,778,0,1345,1342,3,Dileshwar Kamait,JD(U),987,Ranjeeta Ranjan,INC,355,Male-Skewed,General,Hindu,51-65
Odisha,OR,Bolangir,AC_068,68,PC_10,Booth_2360001,2360001,Auxiliary,Patnagarh Fort,20.7167,83.15,1777,944,833,0,1498,1495,3,Sangeeta Singh Deo,BJP,1234,Kalika Keshari,INC,372,Male-Skewed,General,Hindu,18-25
Madhya Pradesh,MP,Tikamgarh,AC_045,45,PC_06,Booth_2370001,2370001,Main,Orchha Ram Raja Temple,25.35,78.6333,1711,922,789,0,1398,1395,3,Virendra Kumar,BJP,1023,Kiran Ahirwar,INC,393,Male-Skewed,General,Hindu,51-65
West Bengal,WB,Krishnanagar,AC_085,85,PC_12,Booth_2380001,2380001,Auxiliary,Nabadwip Mayapur,23.4167,88.3667,1888,977,911,0,1654,1651,3,Mahua Moitra,TMC,1345,Kalyan Chaubey,BJP,517,Male-Skewed,OBC,Hindu,18-25
Jharkhand,JH,Koderma,AC_019,19,PC_05,Booth_2390001,2390001,Main,Jhumri Telaiya Market,24.4333,85.5333,1599,855,744,0,1289,1286,3,Annupriya Patel,ApnaDal,987,Raj Kumar Yadav,JMM,299,Male-Skewed,SC,Hindu,26-35
Assam,AS,Sonitpur,AC_074,74,PC_09,Booth_2400001,2400001,Main,Tezpur Mission Chariali,26.6333,92.8,1744,922,822,0,1456,1453,3,Pallab Lochan Das,BJP,1123,Topon Gogoi,INC,46115,Male-Skewed,General,Muslim,18-25
Telangana,TS,Mahabubabad,AC_102,102,PC_16,Booth_2410001,2410001,Main,Warangal Highway School,17.9,79.6,1844,955,889,0,1567,1564,3,Malakondaiah Yadav,TRS,1234,Balaram Naik,INC,443,Male-Skewed,General,Hindu,36-50
Andhra Pradesh,AP,Machilipatnam,AC_076,76,PC_11,Booth_2420001,2420001,Auxiliary,Bandar Port Road,16.18338,1.2667,1777,922,855,0,1498,1495,3,Vallabhaneni Balashowry,YSRCP,1123,Kollu Ravindra,TDP,383,Male-Skewed,General,Sikh,18-25
Tamil Nadu,TN,Tenkasi,AC_223,223,PC_37,Booth_2430001,2430001,Main,Courtallam Falls Road,8.9333,77.25,1823,933,890,0,1587,1584,3,Dhanushyanth Dhananjay,DMK,1234,Krishnasamy,AIADMK,464,Male-Skewed,OBC,Hindu,18-25
Kerala,KL,Ponnani,AC_008,8,PC_07,Booth_2440001,2440001,Main,Tirur Railway Gate,10.9167,76.0167,1911,899,1012,0,1678,1675,3,E T Mohammed Basheer,IUML,1345,P V Anvar,IND,541,Female-Skewed,General,Hindu,26-35
Maharashtra,MH,Yavatmal-Washim,AC_081,81,PC_14,Booth_2450001,2450001,Auxiliary,Pusad Cotton Market,19.9167,77.6833,1666,877,789,0,1398,1395,3,Bhavana Gawali,SHS,1123,Manikrao Thakare,INC,283,Male-Skewed,OBC,Christian,26-35
Gujarat,GJ,Sabarkantha,AC_005,5,PC_05,Booth_2460001,2460001,Main,Himatnagar Civil Circle,23.6,72.9677,1799,955,844,0,1523,1520,3,Rathod Dipsinh,BJP,1023,Thakor Rajendrasinh,INC,418,Male-Skewed,General,Hindu,51-65
Rajasthan,RJ,Rajsamand,AC_177,177,PC_22,Booth_2470001,2470001,Auxiliary,Kankroli Temple Road,25.0667,74.6333,1711,922,789,0,1456,1453,3,Diya Kumari,BJP,1123,Devkinandan Gurjar,INC,343,Male-Skewed,SC,Muslim,18-25
Uttar Pradesh,UP,Banda,AC_237,237,PC_48,Booth_2480001,2480001,Main,Kalpi Road College,25.4667,79.9667,1777,977,800,0,1498,1495,3,R K Singh Patel,BJP,1234,Shyama Charan Gupta,SP,372,Male-Skewed,General,Muslim,51-65
Bihar,BR,Munger,AC_165,165,PC_28,Booth_2490001,2490001,Auxiliary,Jamalpur Locomotive Works,25.3167,85.05,1666,888,778,0,1345,1342,3,Lalan Singh,JD(U),1023,Nilamita Kumari,RJD,343,Male-Skewed,ST,Hindu,26-35
Odisha,OR,Bolangir,AC_068,68,PC_10,Booth_2500001,2500001,Main,Patnagarh Fort Road,20.7167,83.0333,1823,944,879,0,1567,1564,3,Sangeeta Singh Deo,BJP,1123,Kalika Prasad Patel,BJD,441,Male-Skewed,General,Sikh,26-35
Madhya Pradesh,MP,Tikamgarh,AC_046,46,PC_06,Booth_2501001,2501001,Auxiliary,Jatara Palace Road,24.9833,78.95,1711,922,789,0,1432,1429,3,Virendra Kumar,BJP,1023,Kiran Ahirwar,INC,330,Male-Skewed,SC,Muslim,36-50
West Bengal,WB,Diamond Harbour,AC_144,144,PC_21,Booth_2502001,2502001,Main,Kakdwip Ferry Ghat,21.8833,88.1833,1888,977,911,0,1654,1651,3,Abhishek Banerjee,TMC,1345,Nilanjan Roy,BJP,517,Male-Skewed,General,Muslim,26-35
Jharkhand,JH,Singhbhum,AC_054,54,PC_10,Booth_2503001,2503001,Auxiliary,Chaibasa Forest Office,22.55,85.8167,1488,777,711,0,1234,1231,3,Geeta Koda,INC,823,Laxman Giluwa,BJP,408,Male-Skewed,General,Hindu,26-35
Assam,AS,Jorhat,AC_100,100,PC_12,Booth_2504001,2504001,Main,Majuli Island Ferry,26.95,94.2167,1555,811,744,0,1321,1318,3,Topon Kumar Gogoi,BJP,987,Gaurav Gogoi,INC,331,Male-Skewed,OBC,Hindu,18-25
Telangana,TS,Khammam,AC_117,117,PC_17,Booth_2505001,2505001,Main,Bhadrachalam Temple Road,17.6667,80.8833,1911,988,923,0,1678,1675,3,Nama Nageswara Rao,TRS,1345,Renuka Chowdhury,INC,541,Male-Skewed,General,Hindu,36-50
Andhra Pradesh,AP,Amalapuram,AC_045,45,PC_07,Booth_2506001,2506001,Auxiliary,Ravulapalem Canal,16.7667,81.8333,1777,922,855,0,1523,1520,3,Chinta Anuradha,YSRCP,1123,Ganti Harish,TDP,408,Male-Skewed,General,Hindu,65+
Tamil Nadu,TN,Ramanathapuram,AC_211,211,PC_35,Booth_2507001,2507001,Main,Rameswaram Temple Road,9.2833,79.3167,1666,844,822,0,1398,1395,3,Kani K Navas,AIADMK,987,K Jayakumar,INC,408,Male-Skewed,SC,Hindu,36-50
Kerala,KL,Alathur,AC_063,63,PC_09,Booth_2508001,2508001,Auxiliary,Nenmara Forest Gate,10.6167,76.6167,1844,877,967,0,1587,1584,3,Ramya Haridas,INC,1234,T N Sarasu,CPM,464,Female-Skewed,General,Hindu,26-35
Maharashtra,MH,Nandurbar,AC_001,1,PC_01,Booth_2509001,2509001,Main,Shahada Tribal Haat,21.55,74.4667,1599,833,766,0,1345,1342,3,Heena Gavit,BJP,1023,K C Padavi,INC,243,Male-Skewed,General,Hindu,36-50
Gujarat,GJ,Chhota Udaipur,AC_137,137,PC_21,Booth_2510001,2510001,Auxiliary,Kawant Forest Road,22.1,74.0667,1488,788,700,0,1234,1231,3,Gitaben Rathva,BJP,987,Ranjitsinh Rathva,INC,244,Male-Skewed,General,Muslim,18-25
Rajasthan,RJ,Udaipur,AC_155,155,PC_22,Booth_2511001,2511001,Main,Fatehsagar Lake Shore,24.6,73.6833,1823,955,868,0,1567,1564,3,Arjunlal Meena,BJP,1234,Tarachand Meena,INC,443,Male-Skewed,General,Hindu,51-65
Uttar Pradesh,UP,Lalitpur,AC_227,227,PC_46,Booth_2512001,2512001,Auxiliary,Talbehat Fort Road,25.05,78.4333,1711,933,778,0,1432,1429,3,Anurag Sharma,BJP,1123,Rajendra Patel,SP,320,Male-Skewed,General,Hindu,18-25
Bihar,BR,Araria,AC_048,48,PC_09,Booth_2513001,2513001,Main,Forbesganj Border Gate,26.3,87.2667,1666,888,778,0,1398,1395,3,Pradeep Kumar Singh,BJP,1023,Sarfaraz Alam,RJD,293,Male-Skewed,SC,Hindu,36-50
Odisha,OR,Cuttack,AC_090,90,PC_14,Booth_2514001,2514001,Main,Barabati Stadium Road,20.4667,85.8667,1888,977,911,0,1654,1651,3,Bhartruhari Mahtab,BJD,1345,Prakash Behera,BJP,517,Male-Skewed,OBC,Hindu,26-35
Madhya Pradesh,MP,Vidisha,AC_149,149,PC_18,Booth_2515001,2515001,Main,Sanchi Stupa Road,23.4833,77.7333,1777,944,833,0,1523,1520,3,Ramkrishna Kusmaria,BJP,1234,Pratap Bhanu Sharma,INC,397,Male-Skewed,OBC,Hindu,36-50
West Bengal,WB,Krishnanagar,AC_085,85,PC_12,Booth_2516001,2516001,Auxiliary,Nabadwip Ghat,23.4167,88.3667,1823,944,879,0,1567,1564,3,Mahua Moitra,TMC,1234,Kalyan Chaubey,BJP,441,Male-Skewed,General,Hindu,36-50
Jharkhand,JH,Dhanbad,AC_040,40,PC_07,Booth_2517001,2517001,Main,Jharia Coal Town Hall,23.8,86.4333,1999,1088,911,0,1721,1718,3,Pashupati Nath Singh,BJP,1345,Kirron Kher,INC,484,Male-Skewed,OBC,Hindu,18-25
Assam,AS,Darrang-Udalguri,AC_066,66,PC_08,Booth_2518001,2518001,Auxiliary,Tangla Market,26.65,91.9167,1555,822,733,0,1321,1318,3,Dilip Saikia,BJP,987,Bhupen Borah,INC,331,Male-Skewed,General,Christian,36-50
Telangana,TS,Mahbubnagar,AC_084,84,PC_12,Booth_2519001,2519001,Main,Jadcherla Highway School,16.7667,78.1333,1844,966,878,0,1587,1584,3,Manne Srinivas Reddy,TRS,1234,Aruna D K,INC,464,Male-Skewed,OBC,Muslim,51-65
Andhra Pradesh,AP,Nandyal,AC_136,136,PC_18,Booth_2520001,2520001,Auxiliary,Allagadda Fort Road,15.1333,78.5167,1777,933,844,0,1523,1520,3,Pocha Brahmananda Reddy,YSRCP,1123,Mandra Sivananda Reddy,TDP,408,Male-Skewed,OBC,Hindu,18-25
Andhra Pradesh,AP,Tirupati,AC_166,166,PC_23,Booth_2521001,2521001,Main,Tirumala Temple Footpath,13.6833,79.35,1911,977,934,0,1678,1675,3,Balli Durga Prasad Rao,YSRCP,1234,Panabaka Lakshmi,TDP,552,Male-Skewed,OBC,Hindu,18-25
Tamil Nadu,TN,Sriperumbudur,AC_005,5,PC_05,Booth_2522001,2522001,Auxiliary,Kanchipuram Temple Road,12.8333,79.7,1888,966,922,0,1654,1651,3,T R Baalu,DMK,1345,K N Ramachandran,AIADMK,517,Male-Skewed,General,Hindu,36-50
Kerala,KL,Thiruvananthapuram,AC_134,134,PC_20,Booth_2523001,2523001,Main,Kovalam Beach Road,8.4,76.9833,1823,855,968,0,1587,1584,3,Shashi Tharoor,INC,1345,Rajeev Chandrasekhar,BJP,443,Female-Skewed,General,Hindu,36-50
Maharashtra,MH,Palghar,AC_129,129,PC_22,Booth_2524001,2524001,Main,Dahanu Port Road,19.9833,72.7333,1599,844,755,0,1345,1342,3,Rajendra Gavit,SHS,1023,Suresh Padavi,BJP,243,Male-Skewed,SC,Hindu,65+
Gujarat,GJ,Valsad,AC_179,179,PC_26,Booth_2525001,2525001,Auxiliary,Dharampur Tribal Haat,20.5333,73.1833,1488,777,711,0,1234,1231,3,K C Patel,BJP,987,Dharmesh Patel,INC,247,Male-Skewed,OBC,Hindu,36-50
Rajasthan,RJ,Sirohi,AC_146,146,PC_19,Booth_2526001,2526001,Main,Mount Abu Hill Station,24.6,72.7167,1711,922,789,0,1456,1453,3,Devji Patel,BJP,1123,Ratan Dewasi,INC,344,Male-Skewed,General,Hindu,26-35
Uttar Pradesh,UP,Mirzapur,AC_399,399,PC_78,Booth_2527001,2527001,Auxiliary,Chunar Fort Road,25.1167,82.6667,1777,966,811,0,1523,1520,3,Anupriya Patel,ApnaDal,1234,Ramcharitra Nishad,SP,397,Male-Skewed,General,Sikh,18-25
Bihar,BR,Patliputra,AC_188,188,PC_31,Booth_2528001,2528001,Main,Danapur Cantonment,25.6333,85.05,1999,1099,900,0,1721,1718,3,Ram Kripal Yadav,BJP,1345,Misa Bharti,RJD,484,Male-Skewed,General,Christian,36-50
Odisha,OR,Baleswar,AC_036,36,PC_06,Booth_2529001,2529001,Main,Chandipur Beach Road,21.4667,87.0167,1823,944,879,0,1587,1584,3,Rabindra Narayan Pani,BJP,1234,Pratap Chandra Sarangi,BJD,464,Male-Skewed,SC,Muslim,36-50
Madhya Pradesh,MP,Morena,AC_006,6,PC_01,Booth_2530001,2530001,Auxiliary,Gwalior Fort Road,26.2167,78.1833,1888,999,889,0,1654,1651,3,Narendra Singh Tomar,BJP,1345,Ramniwas Rawat,INC,517,Male-Skewed,General,Muslim,26-35
West Bengal,WB,Bardhaman Purba,AC_275,275,PC_38,Booth_2531001,2531001,Main,Kalna Ferry Ghat,23.2167,88.3667,1777,922,855,0,1523,1520,3,Sunil Kumar Mondal,TMC,1123,Paresh Chandra Das,BJP,408,Male-Skewed,General,Hindu,36-50
Jharkhand,JH,Ranchi,AC_063,63,PC_08,Booth_2532001,2532001,Main,Ratu Road Palace,23.3667,85.3167,1911,999,912,0,1678,1675,3,Sanjay Seth,BJP,1345,Subodh Kant Sahay,INC,541,Male-Skewed,OBC,Christian,26-35
Assam,AS,Karimganj,AC_001,1,PC_01,Booth_2533001,2533001,Auxiliary,Patharkandi Border,24.6,92.3167,1555,811,744,0,1321,1318,3,Kripanath Mallah,BJP,987,Swadhinata Das,AIUDF,331,Male-Skewed,ST,Hindu,18-25
Telangana,TS,Hyderabad,AC_092,92,PC_08,Booth_2534001,2534001,Main,Charminar Area,17.3667,78.4667,2023,1123,900,0,1789,1786,3,Asaduddin Owaisi,AIMIM,1456,Syed Imtiaz Jaleel,BJP,330,Male-Skewed,General,Hindu,18-25
Andhra Pradesh,AP,Visakhapatnam,AC_059,59,PC_04,Booth_2535001,2535001,Auxiliary,Gajuwaka Steel Plant,17.7,83.2167,1888,999,889,0,1654,1651,3,M V V Satyanarayana,YSRCP,1345,Daggubati Purandeswari,TDP,517,Male-Skewed,OBC,Muslim,36-50
Tamil Nadu,TN,Virudhunagar,AC_204,204,PC_34,Booth_2536001,2536001,Main,Sivakasi Fireworks Market,9.45,77.8,1777,922,855,0,1523,1520,3,Manickam Tagore,INC,1123,B Jeyapradha,AIADMK,408,Male-Skewed,General,Hindu,51-65
